Title,Course Price,Subscribers,Reviews Left,Length,Percent of Reviews
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,4 hours,"['\ufeff28295', 'Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours', 'https://www.udemy.com/build-beautiful-html5-website/', 'TRUE', '75', '43285', '525', '24', 'All Levels', '4 hours', '2013-01-03T00:55:31Z']"
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,12.5 hours,"['19603', 'Learning Dynamic Website Design - PHP MySQL and JavaScript', 'https://www.udemy.com/learning-dynamic-website-design/', 'TRUE', '50', '47886', '285', '125', 'All Levels', '12.5 hours', '2012-06-18T16:52:34Z']"
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,4.5 hours,"['889438', 'ChatBots: Messenger ChatBot with API.AI and Node.JS', 'https://www.udemy.com/chatbots/', 'TRUE', '50', '2577', '529', '64', 'All Levels', '4.5 hours', '2016-06-30T16:57:08Z']"
Projects in HTML5,60,8777,206,15.5 hours,"['197836', 'Projects in HTML5', 'https://www.udemy.com/projects-in-html5/', 'TRUE', '60', '8777', '206', '75', 'Intermediate Level', '15.5 hours', '2014-06-17T05:43:50Z']"
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,5.5 hours,"['505208', 'Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015', 'https://www.udemy.com/html-css-more/', 'TRUE', '20', '23764', '490', '58', 'Beginner Level', '5.5 hours', '2015-10-17T04:52:25Z']"
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,4 hours,"['1086834', 'How To Make A Wordpress Website 2017 | Divi Theme Tutorial', 'https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/', 'TRUE', '40', '3541', '202', '37', 'Beginner Level', '4 hours', '2017-01-26T22:15:02Z']"
Build Your Own Backend REST API using Django REST Framework,50,2669,112,5.5 hours,"['1094964', 'Build Your Own Backend REST API using Django REST Framework', 'https://www.udemy.com/django-python/', 'TRUE', '50', '2669', '112', '72', 'Intermediate Level', '5.5 hours', '2017-04-27T19:21:11Z']"
Angular and Firebase - Build a Web App with Typescript,150,1966,359,5 hours,"['965870', 'Angular and Firebase - Build a Web App with Typescript', 'https://www.udemy.com/angular-firebase-application/', 'TRUE', '150', '1966', '359', '65', 'All Levels', '5 hours', '2016-09-27T21:46:03Z']"
Web Development Masterclass - Complete Certificate Course,200,4090,178,19.5 hours,"['965528', 'Web Development Masterclass - Complete Certificate Course', 'https://www.udemy.com/web-development-masterclass-complete-certificate-course/', 'TRUE', '200', '4090', '178', '348', 'All Levels', '19.5 hours', '2016-10-12T03:14:13Z']"
Spring Boot Tutorial For Beginners,40,2578,210,5.5 hours,"['1078208', 'Spring Boot Tutorial For Beginners', 'https://www.udemy.com/spring-boot-tutorial-for-beginners/', 'TRUE', '40', '2578', '210', '39', 'Beginner Level', '5.5 hours', '2017-01-23T15:13:53Z']"
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,7 hours,"['642410', 'The Complete Bootstrap Masterclass Course - Build 4 Projects', 'https://www.udemy.com/bootstrapcourse/', 'TRUE', '195', '24978', '540', '67', 'All Levels', '7 hours', '2015-10-27T20:27:11Z']"
Scaling Docker on AWS,25,3133,351,6 hours,"['785388', 'Scaling Docker on AWS', 'https://www.udemy.com/scaling-docker-on-aws/', 'TRUE', '25', '3133', '351', '63', 'All Levels', '6 hours', '2016-03-28T17:51:04Z']"
